"STATEFP","state","abbrev","approp_percap15","fundingperthousinc","ftepubin2year","grants_perfte","grants_pctneedbased","grants_needbased","grants_nonneedbased","res_pct_instate","state_enroll","res_enroll_total","res_enroll_instate","res_enroll_outstate","state_enroll_outstate","migration_net","state_pct_outstate","approp0115","enroll0114","approp_percap0115","approp_15","enroll_14","t2_05","t2_10","t2_15","t4_05","t4_10","t4_15","t4outstate_15","t4_0515","t2_0515","t2_15_rank","t4_15_rank","t4outstate_15_rank"
0,"United States","US",7734.68731651777,5.55,0.459912671640159,707,0.755476367772956,534.12179201548,172.87820798452,0.81118446926357,2174664,2130794,1728467,402327,446197,43870,0.205179742709678,-0.0120829477828523,0.293802102158334,-0.236653603858341,80973621291.81,10695774,2566.8857979394,2805.37019310441,3347,6328.93535364952,7825,9139,22957.5313329883,0.444002741271496,0.303914651242703,,,
1,"Alabama","AL",7523.81693605681,8.09,0.33798041140794,41.690544164433,0.744649073934837,31.0448251038845,10.6457190605486,0.893614871691251,36929,29694,26535,3159,10394,7235,0.281459015949525,-0.00411239631487206,0.218062514465149,-0.182646778519755,1465539719,194728,3368.18877189932,3100.21252558327,4237.23824533753,5568.37659870452,7083.8600399643,9469.89814263603,22453.0881373627,0.700656910460977,0.25801685484159,17,19,24
2,"Alaska","AK",18554.058398021,9.79,0.0534489118406492,531.893852472529,0.332089347423436,176.63628236614,355.257570106389,0.647263948497854,2909,3728,2413,1315,496,-819,0.170505328291509,0.472601504251391,0.226320799619229,0.200466860497441,382551600,20612,2759.12318587256,3597.79004604566,4064.375,4241.1027974612,5374.86652022573,6138.09017461559,19458.0901746156,0.447286346911929,0.473067611047842,21,49,37
4,"Arizona","AZ",3808.27540278398,3.62,0.517494406884213,46.0852571475473,1,46.0852571475473,0,0.884834015461573,41144,35184,31132,4052,10012,5960,0.243340462764923,-0.241021208943956,0.388937999410674,-0.453719358652969,915770300,240396,1719.89991175064,2094.47256923871,2438.17360297664,5034.99773160023,7157.02461876461,10397.5803427211,25769.0527299495,1.06506157440046,0.417625285238191,46,15,13
5,"Arkansas","AR",8504.38721680111,8.87,0.372118426286645,1072.78767479032,0.0617606580251177,66.2560727162861,1006.53160207403,0.90388426476417,23356,20184,18244,1940,5112,3172,0.218873094707998,0.151699207325592,0.467651354890702,-0.215513998535788,991527821,116555,2313.77777072556,2596.79654309158,3100.5501870204,5656.03840325175,6530.21166008733,7566.86096819079,16885.4626879987,0.337837622149184,0.340038021909133,39,34,48
6,"California","CA",8179.60457023277,6.05,0.596852829528017,988.755592495398,0.998578800132975,987.350373178824,1.40521931657429,0.876377114228001,251328,263867,231247,32620,20081,-12539,0.0798995734657499,-0.0309052535810132,0.206982177029956,-0.197334840555385,11688629379,1428566,997.616029213581,892.171057908253,1428.63695987375,5179.45450810764,7152.65658420937,9172.65837643556,25248.6042161407,0.770969966446693,0.432050927449454,50,22,16
8,"Colorado","CO",4009.04099425568,3,0.318684815135089,322.317735782846,0.994326827496695,320.489171666875,1.82856411597088,0.747230517291205,30290,31143,23271,7872,7019,-853,0.231726642456256,-0.228243459096177,0.284581188891682,-0.399396593351317,778730431,194185,2738.50538712342,3022.67991222772,3901.95742920776,4609.03544189888,6846.8941653424,9487.08458284831,27058.4324619645,1.05836659371396,0.42484928003244,24,18,8
9,"Connecticut","CT",12564.3897968033,4.97,0.403326508430019,289.591954502967,0.993316141062663,287.656362729681,1.93559177328549,0.54949775728094,26044,31658,17396,14262,8648,-5614,0.332053448011058,0.170554217912221,0.311776859504132,-0.107926580789201,1117135194.16,88886,2970.62396817806,3494.42764419389,3866,7822.89005086293,9234.02504978235,10619.6389985532,27092.5869792703,0.357508405398311,0.301410088053348,25,13,7
10,"Delaware","DE",6739.03065842601,5.28,0.2962979447863,536.088574108427,0.648439229577153,347.620861979983,188.467712128444,0.712615384615385,8110,6500,4632,1868,3478,1610,0.4288532675709,-0.0979728980542067,0.228312504567712,-0.265858552919248,226594100,33614,2503.91745946181,3017.21986903366,3471,8184.6493287832,9841.18185296104,11447.6500666052,28344.643310134,0.398673248754457,0.386227803509967,33,8,4
12,"Florida","FL",7509.14307698212,5,0.56303629370291,589.916895154817,0.318697414407544,188.004989201167,401.911905953651,0.882034521499336,107684,107701,94996,12705,12688,-17,0.11782623230935,0.132418302211464,0.546299171487064,-0.267879804666112,4226714318,562706,2197.71848019823,2787.89805488344,3173.95635528806,3770.6922688345,4713.10928510651,6350.96988708292,20531.9044263021,0.684298116707881,0.444205153610834,38,45,32
13,"Georgia","GA",9159.34116478022,7.37,0.382338812791839,1520.91209720928,0,0,1520.91209720928,0.833273164861613,64940,66480,55396,11084,9544,-1540,0.146966430551278,0.339518209012402,0.560728385313857,-0.141994003962955,2897661906,316266,2561.94710472547,2834.85442635229,3575.8979385972,4211.47063817763,5468.77926316344,8094.09941819689,24254.1066940915,0.921917570746579,0.395773523973823,28,30,19
15,"Hawaii","HI",13737.9471983522,8.65,0.528214004150318,75.0524005181262,1,75.0524005181262,0,0.674081451969898,7578,9036,6091,2945,1487,-1458,0.19622591712853,0.23962760880543,0.291399831307988,-0.0403794379573065,568084290,41339,1800.15367647698,2667.77710461427,3492.17795985252,4180.60380559057,7248.7533444247,9740.13886753779,26768.1859922692,1.32984021459117,0.939933243192293,31,17,11
16,"Idaho","ID",7249.78055676621,6.53,0.299052901540802,64.9938876896013,0.285176878475274,18.534754011293,46.4591336783083,0.703598269186973,9776,8782,6179,2603,3597,994,0.367941898527005,0.00794883770249836,0.352438190169061,-0.254941982000487,401454400,55358,2219.94259966091,2640.47688864401,3760.89591113665,4433.71183280442,5335.55420922855,6602.03941433861,19491.0632146482,0.489054693516849,0.694141060994598,26,43,36
17,"Illinois","IL",13182.2593417391,7.99,0.607206104999348,711.775473129179,0.997185054949322,709.7718642839,2.003608845279,0.688610579366882,76062,92463,63671,28792,12391,-16401,0.162906576214141,0.344582886949656,0.0676311854752581,0.259027913280692,4943150400,374872,2456.99987392949,2980.0915753141,3526.08958774673,8017.96843281311,11367.8099300182,12769.5180514143,25339.4261764891,0.592612662224476,0.435119970969899,29,5,15
18,"Indiana","IN",6754.03225408049,6.48,0.305536784044418,890.014174270426,0.97770257289359,870.16914809596,19.8450261744663,0.870177875352838,51440,44638,38843,5795,12597,6802,0.244887247278383,-0.0307876809548586,0.351523249308848,-0.28309033585379,1681133009,248833,3190.39581619789,3580.69632665993,4152.1273475228,7219.13480546016,8346.22202642934,9022.79109145104,27234.0573527758,0.249843829571752,0.301445835166324,19,23,6
19,"Iowa","IA",6684.85442973842,6.01,0.509371420988406,276.399361615511,0.925404431791447,255.781194183321,20.6181674321903,0.866096138289266,30961,23487,20342,3145,10619,7474,0.34297987791092,-0.263197400656747,0.190617956423742,-0.381346105133426,847741404,126777,3605.24604616789,4041.523972238,4540.77664027434,6675.87855192801,7329.56198369669,7857.14039395328,23249.3489685646,0.176944777056215,0.259491469410487,11,32,22
20,"Kansas","KS",5932.59638514213,6.08,0.423486520463752,125.366129325984,1,125.366129325984,0,0.856930826661869,24867,22234,19053,3181,5814,2633,0.2338038364097,-0.130201281592811,0.189603037867867,-0.269053267377477,803124160,135334,2181.66772725297,2316.15032291726,2628.15096718639,5237.4841533713,6892.75852817245,8085.52505279748,20187.0864610965,0.543780337281391,0.204652264117054,44,31,34
