"statefip","state","abbrev","fiscalyear","enrollment","enroll_change","appropriations","approp_change","approp_percap","tuition_2year","tuition_4year"
1,"Alabama","AL",2001,159867,0,1471591486.40569,0,9205.09852818713,,
1,"Alabama","AL",2002,161278,0.00882608668455654,1484963982.55811,0.00908709806760086,9207.48014334321,,
1,"Alabama","AL",2003,169429,0.0598122189069664,1510442164.0443,0.0264004501232168,8914.89747353933,,
1,"Alabama","AL",2004,175629,0.0985944566420837,1484906191.7975,0.00904782714143713,8454.78931040717,,
1,"Alabama","AL",2005,177457,0.110028961574309,1499905822.53619,0.0192406224091821,8452.22122844515,3368.18877189932,5568.37659870452
1,"Alabama","AL",2006,176238,0.102403873219614,1674497481.9402,0.137882012371583,9501.3418328635,3247.00568281754,5687.61215210017
1,"Alabama","AL",2007,178314,0.115389667661243,1953659905.83691,0.327583044536802,10956.2900604378,3230.07720029033,5687.99667789818
1,"Alabama","AL",2008,183846,0.149993432040384,2190940893.47613,0.488824115738415,11917.2616944406,3140.37656322207,5862.63250179301
1,"Alabama","AL",2009,190217,0.189845308913034,1934195867.557,0.31435652178255,10168.3649072217,3125.80428030202,6580.1763473871
1,"Alabama","AL",2010,202247,0.265095360518431,1684517114.7113,0.144690717683933,8329.00915569229,3100.21252558327,7083.8600399643
1,"Alabama","AL",2011,208912,0.306786266083682,1652508017.3547,0.122939370484458,7910.06747987045,3657.94133347104,7892.88892352413
1,"Alabama","AL",2012,203440,0.272557813682624,1554427215.93105,0.0562898945057633,7640.7157684381,4170.56288008871,8321.36498842637
1,"Alabama","AL",2013,196645,0.230053732164862,1439276291.80336,-0.0219593514238506,7319.16037429562,4182.07959576807,8935.00078019528
1,"Alabama","AL",2014,194728,0.218062514465149,1452359765.99946,-0.0130686542997114,7458.40231502125,4181.3771734368,9227.27046923256
1,"Alabama","AL",2015,194786.732778759,0.218429899721388,1465539719,-0.00411239631487206,7523.81693605681,4237.23824533753,9469.89814263603
2,"Alaska","AK",2001,16808,0,259779443.994574,0,15455.7022843036,,
