"statefip","abbrev","state","fiscalyear","enrollment","enroll_change","appropriations","approp_change"
1,"AL","Alabama",2001,159867,0,1452373384.21796,0
1,"AL","Alabama",2002,161278,0.00882608668455654,1468304892.94052,0.010969292673416
1,"AL","Alabama",2003,169429,0.0598122189069664,1492313942.44565,0.0275001997845084
1,"AL","Alabama",2004,175629,0.0985944566420837,1460286550.05294,0.00544843765451047
1,"AL","Alabama",2005,177457,0.110028961574309,1469633626.72811,0.0118841633272209
1,"AL","Alabama",2006,176238,0.102403873219614,1649958268.22917,0.136042760187045
1,"AL","Alabama",2007,178314,0.115389667661243,1920124020.96536,0.322059493674397
1,"AL","Alabama",2008,183846,0.149993432040384,2150552169.50066,0.480715766943528
1,"AL","Alabama",2009,190217,0.189845308913034,1931919028.02314,0.330180688393294
1,"AL","Alabama",2010,202247,0.265095360518431,1671401174.89111,0.150806805641848
1,"AL","Alabama",2011,208912,0.306786266083682,1621386111.24649,0.116370024998457
1,"AL","Alabama",2012,203440,0.272557813682624,1538009247.88525,0.05896270518163
1,"AL","Alabama",2013,196645,0.230053732164862,1426876515.61724,-0.0175553124821594
1,"AL","Alabama",2014,194482.292736362,0.216525566479399,1438993635.33455,-0.00921233412068507
1,"AL","Alabama",2015,191428.150906511,0.197421299621006,1465539719,0.00906539249831662
2,"AK","Alaska",2001,16808,0,256386880.265387,0
2,"AK","Alaska",2002,17065,0.015290337934317,268843041.078377,0.048583456376928
2,"AK","Alaska",2003,18092,0.0763921941932413,273177554.103261,0.0654895984556388
2,"AK","Alaska",2004,19093,0.135947168015231,271717257.411329,0.0597939220995762
2,"AK","Alaska",2005,19184,0.141361256544503,284318857.296467,0.108944642573628
2,"AK","Alaska",2006,18908,0.124940504521656,295476571.726191,0.152463696349602
2,"AK","Alaska",2007,18782,0.117444074250357,326721465.622016,0.274329892714578
2,"AK","Alaska",2008,19014,0.131247025226083,325817295.393004,0.270803307313346
2,"AK","Alaska",2009,18965,0.128331746787244,347165954.287605,0.354070668234868
2,"AK","Alaska",2010,19982,0.188838648262732,361256743.538357,0.4090297567661
2,"AK","Alaska",2011,20975,0.247917658257972,359381509.959678,0.40171567900698
2,"AK","Alaska",2012,21167,0.259340790099952,367398692.856804,0.432985543084375
2,"AK","Alaska",2013,20318,0.208829128986197,375049047.006529,0.462824644608627
2,"AK","Alaska",2014,20985.4159176336,0.248537358259972,383900684.68674,0.497349179058472
2,"AK","Alaska",2015,20655.8618195762,0.22893037955594,382551600,0.492087269067824
4,"AZ","Arizona",2001,173079,0,1190824960.84133,0
4,"AZ","Arizona",2002,180901,0.0451932354589523,1161198479.01612,-0.0248789560174159
4,"AZ","Arizona",2003,190170,0.0987468150382195,1103073775.19022,-0.0736894073744624
4,"AZ","Arizona",2004,195759,0.13103842753887,1079979947.48544,-0.093082541096197
4,"AZ","Arizona",2005,202296,0.168807307645642,1114812712.74962,-0.0638315878414347
4,"AZ","Arizona",2006,203093,0.173412141276527,1165797842.33631,-0.021016622365172
4,"AZ","Arizona",2007,207469,0.198695393433057,1260330688.71719,0.0583677115961296
4,"AZ","Arizona",2008,209392,0.209805926773323,1347526826.44924,0.131591015271625
4,"AZ","Arizona",2009,213455,0.233280756186481,1351922961.58705,0.135282687248926
4,"AZ","Arizona",2010,230892,0.334026658346766,1257415297.40067,0.0559195001356777
4,"AZ","Arizona",2011,242986,0.40390226428394,1142611252.07945,-0.0404876538091848
4,"AZ","Arizona",2012,245408,0.417895874138399,848448037.638179,-0.287512383819416
4,"AZ","Arizona",2013,241586,0.395813472460553,855225506.829587,-0.281820977093595
4,"AZ","Arizona",2014,238380.132817785,0.377290906567433,878716257.856853,-0.26209452543216
4,"AZ","Arizona",2015,234636.621134533,0.355661987500118,915770300,-0.230978246078251
5,"AR","Arkansas",2001,79416,0,849682847.85432,0
5,"AR","Arkansas",2002,83927,0.0568021557368792,819252499.110617,-0.0358137731278765
5,"AR","Arkansas",2003,87717,0.104525536415836,792143898.994565,-0.0677181480184705
5,"AR","Arkansas",2004,92787,0.168366576004835,834690850.211752,-0.017644227702638
5,"AR","Arkansas",2005,95560,0.203283973002921,828818345.852535,-0.0245556351460708
5,"AR","Arkansas",2006,98260,0.237282159766294,863637643.154762,0.0164235341877054
5,"AR","Arkansas",2007,99726,0.255741915986703,894814004.615563,0.0531152969313332
5,"AR","Arkansas",2008,102210,0.287020247809006,945978490.708443,0.113331277778875
5,"AR","Arkansas",2009,106091,0.335889493301098,945448751.334269,0.112707822361937
5,"AR","Arkansas",2010,113683,0.431487357711292,1031277202.3876,0.213720160400852
5,"AR","Arkansas",2011,118611,0.493540344514959,1066844013.13032,0.255579085566323
5,"AR","Arkansas",2012,120508,0.517427218696484,1047766152.30378,0.233126165780184
5,"AR","Arkansas",2013,119000,0.49843860179309,1029431916.39054,0.211548425380283
5,"AR","Arkansas",2014,116325.179361929,0.464757471566554,999503698.169036,0.176325614543185
5,"AR","Arkansas",2015,114498.413587239,0.441754981203269,991527821,0.166938727201423
6,"CA","California",2001,1183585,0,11903875170.6098,0
6,"CA","California",2002,1257710,0.0626275256952395,12441699140.2446,0.0451805787549436
6,"CA","California",2003,1324859,0.119361093626567,11957352389.2663,0.0044924209881261
6,"CA","California",2004,1273365,0.0758542901439271,10569940770.937,-0.112058836349885
6,"CA","California",2005,1277519,0.0793639662550641,10925146438.6329,-0.0822193376484149
6,"CA","California",2006,1293150,0.0925704533261236,10971759856.6964,-0.0783035188586948
6,"CA","California",2007,1319634,0.114946539538774,12646483460.7315,0.0623837430650475
6,"CA","California",2008,1374398,0.161216135723248,12677475136.1337,0.0649872377218714
6,"CA","California",2009,1422312,0.201698230376357,12950838822.9769,0.0879514979249789
6,"CA","California",2010,1468908,0.241066759041387,10959450465.9124,-0.0793375847076373
6,"CA","California",2011,1441175,0.217635404301339,11889250003.1278,-0.0012286055819963
6,"CA","California",2012,1424413,0.203473345809553,9748297563.43807,-0.181082007016823
6,"CA","California",2013,1402380,0.184857868256188,9713506006.79524,-0.184004715474715
6,"CA","California",2014,1414891.18196352,0.195428449974884,10514942208.0292,-0.116679059774572
6,"CA","California",2015,1392671.78973649,0.176655491355915,11688629379,-0.0180819933445922
8,"CO","Colorado",2001,151166,0,995858976.115189,0
8,"CO","Colorado",2002,156200,0.0333011391450458,993927061.617565,-0.00193994786808093
8,"CO","Colorado",2003,164074,0.0853895717290925,880252767.309783,-0.116086927545085
8,"CO","Colorado",2004,168177,0.112531918553114,739827138.24775,-0.257096480534031
8,"CO","Colorado",2005,170313,0.126662080097376,708054630.414747,-0.289001106183887
8,"CO","Colorado",2006,167747,0.109687363560589,700185859.672619,-0.296902597188992
8,"CO","Colorado",2007,166671,0.102569360835108,777024492.360448,-0.219744450773951
8,"CO","Colorado",2008,165377,0.0940092348808595,809549151.010436,-0.187084546681038
8,"CO","Colorado",2009,170317,0.126688541074051,883665922.428299,-0.112659579697269
8,"CO","Colorado",2010,184747,0.222146514427848,899636163.031905,-0.0966229309481613
8,"CO","Colorado",2011,193617,0.280823730203882,804056953.678442,-0.192599581905623
8,"CO","Colorado",2012,193447,0.279699138695209,666309690.917925,-0.330919631294407
8,"CO","Colorado",2013,194462,0.286413611526401,649725938.637474,-0.347572342851162
8,"CO","Colorado",2014,193590.488415968,0.280648349602212,678110617.060586,-0.319069634030039
8,"CO","Colorado",2015,190550.351444044,0.260537101226755,778730431,-0.218031418426533
9,"CT","Connecticut",2001,67760,0,941900906.154715,0
9,"CT","Connecticut",2002,70735,0.0439049586776859,989819018.704836,0.0508738363420261
9,"CT","Connecticut",2003,74654,0.101741440377804,969159030,0.0289394814965894
9,"CT","Connecticut",2004,75989,0.121443329397875,935837034.886183,-0.00643790788278078
9,"CT","Connecticut",2005,78502,0.158530106257379,953736357.296467,0.0125654950158928
9,"CT","Connecticut",2006,80140,0.182703659976387,975084171.800595,0.0352301026881376
